Ссылка,Адрес,Цена,Тип помещения,Площадь,Этаж,Этажей в доме,Телефон
https://cian.ru/sale/commercial/294836572/,"Свердловская область, Екатеринбург, р-н Центр, ул. Карла Либкнехта, 22",23650000,Офис,193.8,2,7,+79826114265
https://cian.ru/sale/commercial/297886430/,"Свердловская область, Екатеринбург, р-н Центр, ул. Маршала Жукова, 12",19521600,Офис,92.96,3,28,+79826109171
https://cian.ru/sale/commercial/300935171/,"Свердловская область, Екатеринбург, р-н Академический, мкр. УНЦ, ул. Чкалова, 250",22500000,Офис,152.0,1,10,+79126627189
https://cian.ru/sale/commercial/303802097/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, Юго-Западный жилой район, Философия Идеалистов на Черкасской жилой комплекс, мкр. Юго-Западный",21777000,Офис,128.51,2,24,+79827229693
https://cian.ru/sale/commercial/308055735/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Фрунзе, 96В",36500000,Офис,381.9,3,4,+79122115886
https://cian.ru/sale/commercial/315436559/,"Свердловская область, Екатеринбург, р-н Центр, ул. Маршала Жукова, 16",11000000,Офис,58.63,4,4,+79126923794
https://cian.ru/sale/commercial/315436560/,"Свердловская область, Екатеринбург, р-н Центр, ул. Маршала Жукова, 16",17400000,Офис,92.89,4,4,+79126923794
https://cian.ru/sale/commercial/315436563/,"Свердловская область, Екатеринбург, р-н Центр, ул. Маршала Жукова, 16",15000000,Офис,79.87,4,4,+79126923794
https://cian.ru/sale/commercial/316357957/,"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, ул. 40-летия Комсомола, 34к9",40000000,Офис,427.8,1,4,+79126627189
https://cian.ru/sale/commercial/317440094/,"Свердловская область, Екатеринбург, р-н Центр, ул. Маршала Жукова, 16",135000000,Офис,708.25,1,4,+79126923794
https://cian.ru/sale/commercial/321230857/,"Свердловская область, Екатеринбург, р-н Академический, мкр. УНЦ, ул. М.Н. Михеева, 2",20800000,Свобод. назнач.,147.0,1,18,+79826510970
https://cian.ru/sale/commercial/321292645/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Краснофлотцев, 40",8602500,Офис,55.5,2,10,+79826883973
https://cian.ru/sale/commercial/321292648/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Краснофлотцев, 40",5950000,Офис,35.0,2,10,+79826883973
https://cian.ru/sale/commercial/321292650/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Краснофлотцев, 40",4952500,Офис,28.3,2,10,+79826883973
https://cian.ru/sale/commercial/321292656/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Краснофлотцев, 40",6758000,Офис,43.6,2,10,+79826883973
https://cian.ru/sale/commercial/321292660/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Краснофлотцев, 40",7095000,Офис,43.0,2,10,+79826883973
https://cian.ru/sale/commercial/321341575/,"Свердловская область, Екатеринбург, р-н Центр, ул. Белинского, 30",55000800,Офис,267.9,9,9,+79910185926
https://cian.ru/sale/commercial/321451321/,"Свердловская область, Екатеринбург, р-н Верх-Исетский, мкр. Юго-Западный, ул. Черкасская, 5к1",15278000,Офис,76.91,2,24,+79827229693
https://cian.ru/sale/commercial/321466895/,"Свердловская область, Екатеринбург, р-н Октябрьский, Южный жилой район, Исеть Парк жилой комплекс, 1/5",20170036,Свобод. назнач.,112.9,1,24,+79827408586
https://cian.ru/sale/commercial/321777638/,"Свердловская область, Екатеринбург, р-н Академический, мкр. Академический, ул. Рябинина, 18/2",8000000,Офис,32.8,2,16,+79126627189
https://cian.ru/sale/commercial/322343038/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Завокзальный, пер. Полимерный, 15",11829600,Свобод. назнач.,46.5,1,16,+79827408586
https://cian.ru/sale/commercial/323290925/,"Свердловская область, Екатеринбург, р-н Орджоникидзевский, мкр. Эльмаш, ул. Шефская, 26",7300000,Офис,42.85,2,25,+79122913531
https://cian.ru/sale/commercial/324846227/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Черняховского, 86к9/3",1240000,Офис,15.0,4,6,+79240375946
https://cian.ru/sale/commercial/324847481/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Химмаш, ул. Черняховского, 86к9/3",33991000,Свобод. назнач.,635.0,4,5,+79240375946
https://cian.ru/sale/commercial/324887139/,"Свердловская область, Екатеринбург, р-н Чкаловский, мкр. Уктус, ул. Гаршина, 3/2",10500000,Свобод. назнач.,77.8,1,30,+79827512804
https://cian.ru/sale/commercial/324897821/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Машинная, 1в/2",155928000,Офис,584.0,9,14,+79122523638
https://cian.ru/sale/commercial/324898935/,"Свердловская область, Екатеринбург, р-н Ленинский, мкр. Автовокзал, ул. Машинная, 1в/2",63840000,Офис,228.0,10,14,+79126028206
https://cian.ru/sale/commercial/325144130/,"Свердловская область, Екатеринбург, р-н Железнодорожный, мкр. Старая Сортировка, ул. Пехотинцев, 2В",36990000,Офис,104.0,1,7,+79827408401
